iter	RMSE
289	4.591623914
290	4.586582081
291	4.582180584
292	4.578446344
293	4.573680576
294	4.571895724
295	4.569335607
296	4.566970502
297	4.565053676
298	4.558928033
299	4.558089671
300	4.555084385
301	4.548747097
302	4.544745388
303	4.542431407
304	4.536728883
305	4.534894199
306	4.531939263
307	4.528900672
308	4.526800091
309	4.525124583
310	4.521305632
311	4.517888663
312	4.513267502
313	4.508312448
314	4.506883212
315	4.501336337
316	4.497400304
317	4.492172863
318	4.489527088
319	4.484828116
320	4.480471767
321	4.47890326
322	4.473222534
323	4.472752458
324	4.470668416
325	4.466161016
326	4.460892571
327	4.456512256
328	4.455150298
329	4.449829063
330	4.445029475
331	4.443847408
332	4.44323592
333	4.438627829
334	4.435646876
335	4.434069876
336	4.430186437
337	4.429782622
338	4.425811816
339	4.422510091
340	4.417740829
341	4.414156118
342	4.41315928
343	4.411563325
344	4.408320683
345	4.405307797
346	4.39966895
347	4.395516032
348	4.394340858
349	4.389476093
350	4.386718351
351	4.386105837
352	4.384685618
353	4.381028784
354	4.376987716
355	4.372221462
356	4.367606936
357	4.364049673
358	4.358893537
359	4.356480931
360	4.354356624
361	4.351805028
362	4.348378531
363	4.345150511
364	4.341342661
365	4.338233751
366	4.336362302
367	4.33169411
368	4.32725167
369	4.32314717
370	4.319359537
371	4.317458974
372	4.315267098
373	4.311695082
374	4.309888326
375	4.306086887
376	4.302720465
377	4.298756483
378	4.294052276
379	4.290785114
380	4.288858961
381	4.28515082
382	4.279662985
383	4.276546758
384	4.272484302
385	4.270327678
386	4.266373533
387	4.263620295
388	4.262219233
389	4.259024308
390	4.257776917
391	4.254569211
392	4.253817546
393	4.251797101
394	4.248526328
395	4.246925318
396	4.242401124
397	4.240190527
398	4.236399789
399	4.234513165
400	4.230826391
401	4.228388322
402	4.226245408
403	4.224306199
404	4.221745259
405	4.217159012
406	4.215661001
407	4.212053415
408	4.2098559
409	4.207932209
410	4.206731299
411	4.203261549
412	4.201738522
413	4.197030133
414	4.192544064
415	4.19099242
416	4.186715106
417	4.181654486
418	4.179481485
419	4.177970586
420	4.176500242
421	4.171788386
422	4.170081825
423	4.168484643
424	4.167673301
425	4.164553686
426	4.158692345
427	4.156169428
428	4.150757732
429	4.149771846
430	4.148055108
431	4.143918303
432	4.140281291
433	4.138840739
434	4.134737504
435	4.131042631
436	4.128287633
437	4.125990729
438	4.122663557
439	4.119134287
440	4.117449226
441	4.115101023
442	4.111692654
443	4.110522181
444	4.105815355
445	4.104446803
446	4.102754554
447	4.099206064
448	4.096962977
449	4.093240953
450	4.09011613
451	4.085831202
452	4.084031658
453	4.081597522
454	4.078429705
455	4.077249395
456	4.073914696
457	4.072879366
458	4.071107271
459	4.068312929
460	4.066608084
461	4.062880348
462	4.060307686
463	4.058121363
464	4.055417812
465	4.052544691
466	4.049741281
467	4.045231007
468	4.043266949
469	4.039797091
470	4.039003617
471	4.038492548
472	4.035860948
473	4.034929541
474	4.033472553
475	4.030506406
476	4.026463063
477	4.024618994
478	4.021686023
479	4.01707254
480	4.014198204
481	4.011194184
482	4.010269017
483	4.008005008
484	4.006099368
485	4.002961538
486	4.00212869
487	4.000467247
488	3.997311148
489	3.996690199
490	3.994699976
491	3.991450548
492	3.98876263
493	3.988134137
494	3.986115977
495	3.982830612
496	3.979619037
497	3.97649632
498	3.976049
499	3.973254963
500	3.971965422
501	3.969768734
502	3.968304158
503	3.965754333
504	3.963076235
505	3.961517689
506	3.957231381
507	3.953520571
508	3.950031864
509	3.948324934
510	3.947379992
511	3.945103699
512	3.9415441
513	3.940961501
514	3.938073341
515	3.936687549
516	3.933455282
517	3.931304427
518	3.929769887
519	3.928626071
520	3.925909909
521	3.922785893
522	3.920097406
523	3.915841459
524	3.91147103
525	3.908091171
526	3.905140579
527	3.903981219
528	3.903544836
529	3.903018507
530	3.899500947
531	3.898297685
532	3.896722702
533	3.895763707
534	3.895047471
535	3.893823556
536	3.891322983
537	3.887441303
538	3.886032739
539	3.883180249
540	3.879835468
541	3.877506602
542	3.874420237
543	3.871543648
544	3.867921499
545	3.865911572
546	3.865010109
547	3.86414256
548	3.860475464
549	3.860106356
550	3.857517791
551	3.85647467
552	3.854095622
553	3.850199571
554	3.848952972
555	3.84882251
556	3.848607992
557	3.848276628
558	3.847940183
559	3.846206645
560	3.842925399
561	3.840811107
562	3.838111816
563	3.833535954
564	3.833054311
565	3.831886609
566	3.829314024
567	3.826145839
568	3.824631568
569	3.821219582
570	3.819476351
571	3.816452056
572	3.816113091
573	3.812459155
574	3.812101397
575	3.811907013
576	3.808267409
577	3.808166488
578	3.80545263
579	3.804640462
580	3.801653156
581	3.799836881
582	3.797293247
583	3.794501872
584	3.793454298
585	3.791942089
586	3.791850452
587	3.790991364
588	3.787918992
589	3.784620453
590	3.78116371
591	3.780224769
592	3.776556007
593	3.773306783
594	3.771727787
595	3.77033875
596	3.76756783
597	3.764686228
598	3.763064115
599	3.761226862
600	3.760420952
601	3.757482598
602	3.75517669
603	3.753802193
604	3.752683929
605	3.751360446
606	3.747508643
607	3.746126253
608	3.744688103
609	3.741046819
610	3.739496228
611	3.736807837
612	3.733580635
613	3.731993892
614	3.729661977
615	3.729308725
616	3.725429653
617	3.723790651
618	3.72366424
619	3.723442405
620	3.721824084
621	3.721558428
622	3.720967525
623	3.71755772
624	3.715374003
625	3.71264178
626	3.709845827
627	3.707815559
628	3.70309525
629	3.701048762
630	3.697361146
631	3.696228261
632	3.694043241
633	3.69292497
634	3.691703572
635	3.689189392
636	3.686745614
637	3.683792826
638	3.682483819
639	3.680445216
640	3.680120148
641	3.678626003
642	3.678041761
643	3.674946317
644	3.672556219
645	3.668913958
646	3.666710974
647	3.66634024
648	3.664886577
649	3.662539995
650	3.66234468
651	3.662122121
652	3.662021851
653	3.661886076
654	3.661127508
655	3.658060045
656	3.656998244
657	3.654206266
658	3.651663554
659	3.649037256
660	3.648975112
661	3.648237221
662	3.645659763
663	3.643554235
664	3.642566389
665	3.640532875
666	3.637941682
667	3.63481246
668	3.632685231
669	3.630258538
670	3.62877143
671	3.628397787
672	3.628134841
673	3.626320431
674	3.624299481
675	3.623249132
676	3.62280723
677	3.621872501
678	3.617895766
679	3.617022142
680	3.616770917
681	3.614634592
682	3.614104226
683	3.613591948
684	3.611014303
685	3.607667827
686	3.607047659
687	3.603418108
688	3.60330873
689	3.60182962
690	3.601116623
691	3.599725556
692	3.597846883
693	3.596940391
694	3.59583874
695	3.595456704
696	3.595350883
697	3.593876269
698	3.591526507
699	3.590185745
700	3.588991654
701	3.587941052
702	3.58518218
703	3.584213632
704	3.581764114
705	3.579564636
706	3.578294798
707	3.57723616
708	3.575032026
709	3.571924682
710	3.569071293
711	3.567523849
712	3.566399485
713	3.5647579
714	3.560992382
715	3.559100155
716	3.556686188
717	3.556425148
718	3.554511701
719	3.551157937
720	3.550615095
721	3.548769695
722	3.54659593
723	3.546284639
724	3.54621911
725	3.543635182
726	3.540125973
727	3.539496701
728	3.537634558
729	3.537151424
730	3.536098387
731	3.53584222
732	3.53465995
733	3.533029656
734	3.532888633
735	3.530519898
736	3.528251611
737	3.525493773
738	3.522845814
739	3.522580447
740	3.521492004
741	3.52018687
742	3.518350999
743	3.516138256
744	3.515983795
745	3.513782928
746	3.51207897
747	3.511991426
748	3.509997873
749	3.509023216
750	3.507038893
751	3.505381289
752	3.503729758
753	3.503210526
754	3.501191394
755	3.496875566
756	3.496145429
757	3.493435709
758	3.492069231
759	3.490629338
760	3.490170647
761	3.489459428
762	3.489339687
763	3.486399911
764	3.486296454
765	3.484074253
766	3.482235236
767	3.481336958
768	3.48101956
769	3.479745395
770	3.477444621
771	3.477311355
772	3.476793381
773	3.475808418
774	3.473252453
775	3.471588163
776	3.468379952
777	3.467031705
778	3.466037482
779	3.463164097
780	3.461622385
781	3.461398607
782	3.461366634
783	3.459729852
784	3.459181306
785	3.458765684
786	3.456346053
787	3.455561695
788	3.454595316
789	3.453036747
790	3.452577342
791	3.45003316
792	3.449527265
793	3.447072203
794	3.445584809
795	3.443476736
796	3.442364933
797	3.440258906
798	3.43926487
799	3.437863771
800	3.437007611
801	3.436019956
802	3.434690788
803	3.433117083
804	3.43252068
805	3.432204719
806	3.430077606
807	3.427959375
808	3.426723985
809	3.424623978
810	3.421455144
811	3.421078274
812	3.420825034
813	3.420535923
814	3.420325434
815	3.419582189
816	3.419334821
817	3.417824673
818	3.416157606
819	3.4160115
820	3.415808796
821	3.41550488
822	3.41433775
823	3.414015844
824	3.412872083
825	3.410957255
826	3.409273186
827	3.407385376
828	3.406156719
829	3.403244953
830	3.401934456
831	3.400121609
832	3.397468091
833	3.394586693
834	3.394322548
835	3.394088441
836	3.392362258
837	3.390850554
838	3.389583313
839	3.387163075
840	3.385096217
841	3.382886724
842	3.381698173
843	3.381175349
844	3.379012455
845	3.377728152
846	3.375183617
847	3.374725047
848	3.374276331
849	3.373334239
850	3.373134108
851	3.370913915
852	3.370841587
853	3.368777333
854	3.365653138
855	3.364532492
856	3.362044653
857	3.360449051
858	3.357535593
859	3.357177743
860	3.354919587
861	3.351047153
862	3.350695394
863	3.348773628
864	3.348425
865	3.348210399
866	3.347918788
867	3.346877271
868	3.342991801
869	3.342766314
870	3.342153585
871	3.341661448
872	3.339172913
873	3.337856539
874	3.335356511
875	3.334063897
876	3.329751387
877	3.328445591
878	3.326521342
879	3.323756215
880	3.323689292
881	3.321769716
882	3.320581152
883	3.319878311
884	3.319849475
885	3.317994156
886	3.315592133
887	3.313959676
888	3.312435248
889	3.311045367
890	3.30889782
891	3.306474884
892	3.304449539
893	3.303904206
894	3.301482597
895	3.299548192
896	3.297788881
897	3.29674204
898	3.293120502
899	3.292042034
900	3.29160797
901	3.29066415
902	3.289671447
903	3.288652367
904	3.287702735
905	3.286215581
906	3.285404828
907	3.283920512
908	3.283054387
909	3.282965288
910	3.28151221
911	3.278848088
912	3.278579676
913	3.277177587
914	3.273834688
915	3.272832723
916	3.269496351
917	3.267956826
918	3.267107484
919	3.266266918
920	3.26547712
921	3.265284277
922	3.264645728
923	3.261058491
924	3.260891535
925	3.258926882
926	3.257026912
927	3.255118505
928	3.255036762
929	3.253502593
930	3.251629461
931	3.250292502
932	3.248070627
933	3.246723106
934	3.246616433
935	3.244687649
936	3.242091049
937	3.240354002
938	3.238170506
939	3.237633601
940	3.234484984
941	3.234263798
942	3.234202012
943	3.233947135
944	3.230905998
945	3.23070252
946	3.22873176
947	3.227221015
948	3.224942915
949	3.223644926
950	3.221528366
951	3.221349316
952	3.221050124
953	3.219526805
954	3.216850103
955	3.215652147
956	3.213328293
957	3.212405556
958	3.211122349
959	3.209479035
960	3.207234715
961	3.206114716
962	3.204129849
963	3.203093162
964	3.202398828
965	3.20202469
966	3.199648185
967	3.198254757
968	3.198074049
969	3.195685262
970	3.193584583
971	3.191902345
972	3.190895423
973	3.190249395
974	3.190214798
975	3.18961362
976	3.186751185
977	3.184551791
978	3.184484808
979	3.183318982
980	3.183141814
981	3.182510399
982	3.180366933
983	3.17990575
984	3.17917658
985	3.176579226
986	3.173796954
987	3.172922164
988	3.172422986
989	3.170473123
990	3.170161612
991	3.169198306
992	3.167840433
993	3.167269633
994	3.166285531
995	3.16625687
996	3.166160919
997	3.165029605
998	3.162961663
999	3.162663904
